Round,Dataset,Local_Class,Accuracy
6,EMNIST,52,60.22
6,EMNIST,53,95.07
6,EMNIST,54,76.88
6,EMNIST,55,86.09
6,EMNIST,56,35.99
6,EMNIST,57,71.6
6,EMNIST,58,85.41
6,EMNIST,59,61.45
6,EMNIST,60,80.12
6,EMNIST,61,34.88
6,CIFAR10,0,52.75
6,CIFAR10,1,80.55
6,CIFAR10,2,8.68
6,CIFAR10,3,42.97
6,CIFAR10,4,44.29
6,CIFAR10,5,43.52
6,CIFAR10,6,74.18
6,CIFAR10,7,55.38
6,CIFAR10,8,70.11
6,CIFAR10,9,31.21
7,MNIST,0,99.66
7,MNIST,1,98.74
7,MNIST,2,97.23
7,MNIST,3,99.24
7,MNIST,4,98.77
7,MNIST,5,99.01
7,MNIST,6,98.85
7,MNIST,7,95.83
7,MNIST,8,99.32
7,MNIST,9,99.13
7,EMNIST,0,25.83
7,EMNIST,1,49.54
7,EMNIST,2,81.78
7,EMNIST,3,98.77
7,EMNIST,4,93.03
7,EMNIST,5,90.87
7,EMNIST,6,88.95
7,EMNIST,7,98.78
7,EMNIST,8,95.24
7,EMNIST,9,93.46
7,EMNIST,10,98.34
7,EMNIST,11,97.29
7,EMNIST,12,45.16
7,EMNIST,13,91.96
7,EMNIST,14,95.87
7,EMNIST,15,90.15
7,EMNIST,16,83.54
7,EMNIST,17,98.1
7,EMNIST,18,59.67
7,EMNIST,19,72.98
7,EMNIST,20,49.43
7,EMNIST,21,91.04
7,EMNIST,22,37.11
7,EMNIST,23,96.26
7,EMNIST,24,88.99
7,EMNIST,25,59.84
7,EMNIST,26,94.68
7,EMNIST,27,94.97
7,EMNIST,28,6.33
7,EMNIST,29,94.07
7,EMNIST,30,42.53
7,EMNIST,31,45.99
7,EMNIST,32,78.72
7,EMNIST,33,38.42
7,EMNIST,34,49.72
7,EMNIST,35,62.32
7,EMNIST,36,79.8
7,EMNIST,37,94.2
7,EMNIST,38,70.74
7,EMNIST,39,98.5
7,EMNIST,40,96.83
7,EMNIST,41,18.68
7,EMNIST,42,66.98
7,EMNIST,43,94.87
7,EMNIST,44,31.88
7,EMNIST,45,88.24
7,EMNIST,46,83.73
7,EMNIST,47,51.37
7,EMNIST,48,83.18
7,EMNIST,49,91.48
7,EMNIST,50,1.89
7,EMNIST,51,85.37
7,EMNIST,52,39.78
7,EMNIST,53,94.98
7,EMNIST,54,91.96
7,EMNIST,55,89.06
7,EMNIST,56,79.27
7,EMNIST,57,72.07
7,EMNIST,58,69.41
7,EMNIST,59,92.76
7,EMNIST,60,81.27
7,EMNIST,61,78.54
7,CIFAR10,0,38.79
7,CIFAR10,1,73.52
7,CIFAR10,2,33.74
7,CIFAR10,3,37.91
7,CIFAR10,4,41.21
7,CIFAR10,5,54.51
7,CIFAR10,6,56.81
7,CIFAR10,7,62.75
7,CIFAR10,8,84.51
7,CIFAR10,9,59.34
8,MNIST,0,99.33
8,MNIST,1,97.97
8,MNIST,2,98.94
8,MNIST,3,99.35
8,MNIST,4,98.1
8,MNIST,5,95.19
8,MNIST,6,99.43
8,MNIST,7,98.5
8,MNIST,8,99.21
8,MNIST,9,98.69
8,EMNIST,0,59.51
8,EMNIST,1,16.21
8,EMNIST,2,89.09
8,EMNIST,3,98.73
8,EMNIST,4,89.33
8,EMNIST,5,85.15
8,EMNIST,6,91.32
8,EMNIST,7,98.58
8,EMNIST,8,97.13
8,EMNIST,9,73.35
8,EMNIST,10,94.72
8,EMNIST,11,93.9
8,EMNIST,12,37.82
8,EMNIST,13,91.4
8,EMNIST,14,97.42
8,EMNIST,15,73.66
8,EMNIST,16,92.63
8,EMNIST,17,98.1
8,EMNIST,18,33.67
8,EMNIST,19,74.39
8,EMNIST,20,38.22
8,EMNIST,21,95.79
8,EMNIST,22,32.59
8,EMNIST,23,96.5
8,EMNIST,24,70.55
8,EMNIST,25,57.72
8,EMNIST,26,97.61
8,EMNIST,27,93.34
8,EMNIST,28,58.24
8,EMNIST,29,89.53
8,EMNIST,30,35.71
8,EMNIST,31,84.25
8,EMNIST,32,82.13
8,EMNIST,33,82.44
8,EMNIST,34,55.65
8,EMNIST,35,81.75
8,EMNIST,36,84.01
8,EMNIST,37,94.2
8,EMNIST,38,80.92
8,EMNIST,39,95.1
8,EMNIST,40,97.5
8,EMNIST,41,53.85
8,EMNIST,42,62.13
8,EMNIST,43,95.32
8,EMNIST,44,70.18
8,EMNIST,45,84.78
8,EMNIST,46,87.5
8,EMNIST,47,69.54
8,EMNIST,48,87.68
8,EMNIST,49,93.8
8,EMNIST,50,4.72
8,EMNIST,51,82.39
8,EMNIST,52,70.65
8,EMNIST,53,95.07
8,EMNIST,54,55.28
8,EMNIST,55,94.99
8,EMNIST,56,82.23
8,EMNIST,57,21.13
8,EMNIST,58,70.59
8,EMNIST,59,64.72
8,EMNIST,60,81.56
8,EMNIST,61,57.56
8,CIFAR10,0,63.63
8,CIFAR10,1,68.9
8,CIFAR10,2,25.71
8,CIFAR10,3,42.42
8,CIFAR10,4,50.44
8,CIFAR10,5,67.8
8,CIFAR10,6,66.37
8,CIFAR10,7,51.87
8,CIFAR10,8,68.79
8,CIFAR10,9,65.16
9,MNIST,0,98.88
9,MNIST,1,99.42
9,MNIST,2,97.12
9,MNIST,3,99.24
9,MNIST,4,98.21
9,MNIST,5,98.4
9,MNIST,6,98.85
9,MNIST,7,99.04
9,MNIST,8,99.32
9,MNIST,9,97.39
9,EMNIST,0,63.07
9,EMNIST,1,81.22
9,EMNIST,2,87.11
9,EMNIST,3,97.6
9,EMNIST,4,84.4
9,EMNIST,5,90.53
9,EMNIST,6,92.02
9,EMNIST,7,98.15
9,EMNIST,8,97.31
9,EMNIST,9,90.04
9,EMNIST,10,99.07
9,EMNIST,11,94.92
9,EMNIST,12,49.91
9,EMNIST,13,92.38
9,EMNIST,14,92.12
9,EMNIST,15,37.1
9,EMNIST,16,93.12
9,EMNIST,17,96.2
9,EMNIST,18,37.92
9,EMNIST,19,75.61
9,EMNIST,20,94.83
9,EMNIST,21,96.2
9,EMNIST,22,98.89
9,EMNIST,23,99.02
9,EMNIST,24,62.48
9,EMNIST,25,69.06
9,EMNIST,26,90.69
9,EMNIST,27,97.55
9,EMNIST,28,4.58
9,EMNIST,29,95.53
9,EMNIST,30,46.26
9,EMNIST,31,48.9
9,EMNIST,32,91.0
9,EMNIST,33,72.77
9,EMNIST,34,58.95
9,EMNIST,35,79.86
9,EMNIST,36,93.98
9,EMNIST,37,92.91
9,EMNIST,38,66.41
9,EMNIST,39,96.67
9,EMNIST,40,95.24
9,EMNIST,41,87.91
9,EMNIST,42,73.69
9,EMNIST,43,93.61
9,EMNIST,44,51.93
9,EMNIST,45,87.2
9,EMNIST,46,28.3
9,EMNIST,47,28.94
9,EMNIST,48,0.71
9,EMNIST,49,94.84
9,EMNIST,50,8.49
9,EMNIST,51,74.03
9,EMNIST,52,38.48
9,EMNIST,53,92.09
9,EMNIST,54,88.44
9,EMNIST,55,93.18
9,EMNIST,56,80.18
9,EMNIST,57,67.61
9,EMNIST,58,50.12
9,EMNIST,59,78.27
9,EMNIST,60,73.78
9,EMNIST,61,65.12
9,CIFAR10,0,68.46
9,CIFAR10,1,79.67
9,CIFAR10,2,50.11
9,CIFAR10,3,15.16
9,CIFAR10,4,46.15
9,CIFAR10,5,59.56
9,CIFAR10,6,69.56
9,CIFAR10,7,61.21
9,CIFAR10,8,66.92
9,CIFAR10,9,56.37
10,MNIST,0,99.33
10,MNIST,1,98.93
10,MNIST,2,95.85
10,MNIST,3,99.78
10,MNIST,4,98.88
10,MNIST,5,91.62
10,MNIST,6,97.36
10,MNIST,7,98.61
10,MNIST,8,98.31
10,MNIST,9,97.82
10,EMNIST,0,68.06
10,EMNIST,1,33.29
10,EMNIST,2,76.35
10,EMNIST,3,97.99
10,EMNIST,4,95.73
10,EMNIST,5,76.22
10,EMNIST,6,88.22
10,EMNIST,7,98.53
10,EMNIST,8,94.69
10,EMNIST,9,86.15
10,EMNIST,10,96.58
10,EMNIST,11,97.29
10,EMNIST,12,69.32
10,EMNIST,13,95.49
10,EMNIST,14,97.03
10,EMNIST,15,64.89
10,EMNIST,16,97.05
10,EMNIST,17,96.41
10,EMNIST,18,55.85
10,EMNIST,19,80.53
10,EMNIST,20,68.68
10,EMNIST,21,97.56
10,EMNIST,22,68.22
10,EMNIST,23,98.05
10,EMNIST,24,58.11
10,EMNIST,25,45.04
10,EMNIST,26,97.87
10,EMNIST,27,98.23
10,EMNIST,28,21.63
10,EMNIST,29,96.86
10,EMNIST,30,85.88
10,EMNIST,31,43.92
10,EMNIST,32,33.02
10,EMNIST,33,62.85
10,EMNIST,34,66.94
10,EMNIST,35,67.3
10,EMNIST,36,88.29
10,EMNIST,37,91.24
10,EMNIST,38,41.48
10,EMNIST,39,98.5
10,EMNIST,40,97.45
10,EMNIST,41,64.01
10,EMNIST,42,69.78
10,EMNIST,43,94.42
10,EMNIST,44,60.67
10,EMNIST,45,79.93
10,EMNIST,46,75.47
10,EMNIST,47,61.04
10,EMNIST,48,50.47
10,EMNIST,49,93.74
10,EMNIST,50,13.44
10,EMNIST,51,90.75
10,EMNIST,52,54.35
10,EMNIST,53,92.84
10,EMNIST,54,85.43
10,EMNIST,55,91.32
10,EMNIST,56,33.94
10,EMNIST,57,66.67
10,EMNIST,58,98.12
10,EMNIST,59,82.24
10,EMNIST,60,65.99
10,EMNIST,61,80.49
10,CIFAR10,0,62.42
10,CIFAR10,1,79.67
10,CIFAR10,2,44.4
10,CIFAR10,3,28.13
10,CIFAR10,4,58.35
10,CIFAR10,5,58.46
10,CIFAR10,6,54.73
10,CIFAR10,7,73.74
10,CIFAR10,8,78.79
10,CIFAR10,9,62.86
11,MNIST,0,98.54
11,MNIST,1,99.22
11,MNIST,2,99.25
11,MNIST,3,99.78
11,MNIST,4,99.1
11,MNIST,5,97.66
11,MNIST,6,96.79
11,MNIST,7,99.14
11,MNIST,8,98.19
11,MNIST,9,96.84
11,EMNIST,0,50.03
11,EMNIST,1,43.11
