Round,Dataset,Local_Class,Accuracy
31,CIFAR10,8,40.66
31,CIFAR10,9,45.6
32,MNIST,0,98.32
32,MNIST,1,97.38
32,MNIST,2,91.69
32,MNIST,3,90.53
32,MNIST,4,90.93
32,MNIST,5,95.31
32,MNIST,6,64.18
32,MNIST,7,89.3
32,MNIST,8,82.96
32,MNIST,9,89.87
32,EMNIST,0,83.8
32,EMNIST,1,0.0
32,EMNIST,2,92.32
32,EMNIST,3,1.73
32,EMNIST,4,92.54
32,EMNIST,5,92.54
32,EMNIST,6,0.08
32,EMNIST,7,11.29
32,EMNIST,8,5.43
32,EMNIST,9,71.18
32,EMNIST,10,32.51
32,EMNIST,11,28.31
32,EMNIST,12,1.33
32,EMNIST,13,3.39
32,EMNIST,14,81.4
32,EMNIST,15,47.4
32,EMNIST,16,25.31
32,EMNIST,17,18.78
32,EMNIST,18,0.05
32,EMNIST,19,15.61
32,EMNIST,20,12.64
32,EMNIST,21,26.05
32,EMNIST,22,78.0
32,EMNIST,23,73.88
32,EMNIST,24,32.79
32,EMNIST,25,1.81
32,EMNIST,26,1.06
32,EMNIST,27,63.32
32,EMNIST,28,33.95
32,EMNIST,29,52.76
32,EMNIST,30,11.7
32,EMNIST,31,3.45
32,EMNIST,32,1.91
32,EMNIST,33,9.92
32,EMNIST,34,0.0
32,EMNIST,35,15.17
32,EMNIST,36,14.58
32,EMNIST,37,13.92
32,EMNIST,38,0.25
32,EMNIST,39,35.16
32,EMNIST,40,83.15
32,EMNIST,41,8.79
32,EMNIST,42,0.0
32,EMNIST,43,85.5
32,EMNIST,44,91.26
32,EMNIST,45,57.44
32,EMNIST,46,1.18
32,EMNIST,47,0.0
32,EMNIST,48,6.87
32,EMNIST,49,60.43
32,EMNIST,50,0.0
32,EMNIST,51,63.58
32,EMNIST,52,22.17
32,EMNIST,53,92.99
32,EMNIST,54,19.85
32,EMNIST,55,20.85
32,EMNIST,56,30.3
32,EMNIST,57,35.45
32,EMNIST,58,44.24
32,EMNIST,59,15.42
32,EMNIST,60,7.2
32,EMNIST,61,17.32
32,CIFAR10,0,54.29
32,CIFAR10,1,59.34
32,CIFAR10,2,40.11
32,CIFAR10,3,22.97
32,CIFAR10,4,27.25
32,CIFAR10,5,17.25
32,CIFAR10,6,54.84
32,CIFAR10,7,55.38
32,CIFAR10,8,40.33
32,CIFAR10,9,40.33
33,MNIST,0,97.76
33,MNIST,1,96.71
33,MNIST,2,93.61
33,MNIST,3,23.72
33,MNIST,4,82.87
33,MNIST,5,72.87
33,MNIST,6,97.7
33,MNIST,7,82.14
33,MNIST,8,87.47
33,MNIST,9,94.34
33,EMNIST,0,97.33
33,EMNIST,1,0.0
33,EMNIST,2,94.36
33,EMNIST,3,0.0
33,EMNIST,4,82.7
33,EMNIST,5,83.45
33,EMNIST,6,0.0
33,EMNIST,7,0.07
33,EMNIST,8,0.1
33,EMNIST,9,0.0
33,EMNIST,10,25.36
33,EMNIST,11,0.68
33,EMNIST,12,0.0
33,EMNIST,13,0.14
33,EMNIST,14,16.93
33,EMNIST,15,9.54
33,EMNIST,16,8.6
33,EMNIST,17,0.63
33,EMNIST,18,0.0
33,EMNIST,19,0.88
33,EMNIST,20,14.66
33,EMNIST,21,0.27
33,EMNIST,22,86.74
33,EMNIST,23,50.04
33,EMNIST,24,0.37
33,EMNIST,25,0.55
33,EMNIST,26,0.27
33,EMNIST,27,49.32
33,EMNIST,28,0.09
33,EMNIST,29,0.56
33,EMNIST,30,0.55
33,EMNIST,31,0.14
33,EMNIST,32,1.5
33,EMNIST,33,7.12
33,EMNIST,34,0.0
33,EMNIST,35,0.0
33,EMNIST,36,6.82
33,EMNIST,37,0.0
33,EMNIST,38,0.0
33,EMNIST,39,0.0
33,EMNIST,40,30.86
33,EMNIST,41,0.0
33,EMNIST,42,0.0
33,EMNIST,43,99.18
33,EMNIST,44,83.29
33,EMNIST,45,22.49
33,EMNIST,46,0.24
33,EMNIST,47,0.0
33,EMNIST,48,0.0
33,EMNIST,49,4.81
33,EMNIST,50,0.0
33,EMNIST,51,5.67
33,EMNIST,52,10.65
33,EMNIST,53,11.9
33,EMNIST,54,0.5
33,EMNIST,55,58.05
33,EMNIST,56,0.0
33,EMNIST,57,0.0
33,EMNIST,58,3.53
33,EMNIST,59,0.0
33,EMNIST,60,0.29
33,EMNIST,61,0.0
33,CIFAR10,0,41.21
33,CIFAR10,1,55.38
33,CIFAR10,2,31.1
33,CIFAR10,3,35.6
33,CIFAR10,4,28.57
33,CIFAR10,5,7.03
33,CIFAR10,6,62.2
33,CIFAR10,7,29.67
33,CIFAR10,8,60.11
33,CIFAR10,9,58.02
34,MNIST,0,99.78
34,MNIST,1,97.09
34,MNIST,2,93.5
34,MNIST,3,95.32
34,MNIST,4,90.37
34,MNIST,5,95.56
34,MNIST,6,80.94
34,MNIST,7,90.05
34,MNIST,8,90.97
34,MNIST,9,88.89
34,EMNIST,0,98.61
34,EMNIST,1,0.0
34,EMNIST,2,93.78
34,EMNIST,3,2.69
34,EMNIST,4,91.29
34,EMNIST,5,96.33
34,EMNIST,6,0.27
34,EMNIST,7,73.48
34,EMNIST,8,13.34
34,EMNIST,9,23.95
34,EMNIST,10,35.09
34,EMNIST,11,4.58
34,EMNIST,12,1.71
34,EMNIST,13,4.51
34,EMNIST,14,42.38
34,EMNIST,15,30.76
34,EMNIST,16,12.78
34,EMNIST,17,21.31
34,EMNIST,18,0.97
34,EMNIST,19,36.32
34,EMNIST,20,6.9
34,EMNIST,21,29.72
34,EMNIST,22,67.7
34,EMNIST,23,70.95
34,EMNIST,24,0.11
34,EMNIST,25,8.9
34,EMNIST,26,2.66
34,EMNIST,27,37.09
34,EMNIST,28,0.88
34,EMNIST,29,80.81
34,EMNIST,30,4.51
34,EMNIST,31,16.57
34,EMNIST,32,20.87
34,EMNIST,33,22.39
34,EMNIST,34,9.23
34,EMNIST,35,8.53
34,EMNIST,36,1.61
34,EMNIST,37,2.45
34,EMNIST,38,6.62
34,EMNIST,39,49.61
34,EMNIST,40,51.13
34,EMNIST,41,22.25
34,EMNIST,42,0.0
34,EMNIST,43,90.26
34,EMNIST,44,93.06
34,EMNIST,45,50.87
34,EMNIST,46,2.59
34,EMNIST,47,0.0
34,EMNIST,48,11.14
34,EMNIST,49,63.56
34,EMNIST,50,0.0
34,EMNIST,51,48.36
34,EMNIST,52,35.65
34,EMNIST,53,79.48
34,EMNIST,54,28.89
34,EMNIST,55,50.78
34,EMNIST,56,7.06
34,EMNIST,57,30.05
34,EMNIST,58,6.35
34,EMNIST,59,0.23
34,EMNIST,60,11.24
34,EMNIST,61,6.83
34,CIFAR10,0,43.63
34,CIFAR10,1,55.93
