dataset_a,label_a_id,label_a_name,dataset_b,label_b_id,label_b_name,score_a_to_b,score_b_to_a,relation_score,pass_threshold
MNIST,0,0,EMNIST,47,l,0.0005347296828404069,3.9112237573135644e-05,0.00028692096020677127,False
MNIST,0,0,EMNIST,48,m,0.07817117869853973,0.0013698992552235723,0.03977053897688165,False
MNIST,0,0,EMNIST,49,n,0.3312373757362366,0.0035283167380839586,0.16738284623716027,True
MNIST,0,0,EMNIST,50,o,0.6771150827407837,0.03945988416671753,0.3582874834537506,True
MNIST,0,0,EMNIST,51,p,0.11870286613702774,0.00018937331333290786,0.059446119725180324,False
MNIST,0,0,EMNIST,52,q,0.04224551469087601,0.0020468835718929768,0.022146199131384492,False
MNIST,0,0,EMNIST,53,r,0.22972197830677032,0.0002669993555173278,0.11499448883114383,True
MNIST,0,0,EMNIST,54,s,0.07302121818065643,3.874982940033078e-05,0.03652998400502838,False
MNIST,0,0,EMNIST,55,t,0.02875422313809395,0.0001982092362595722,0.01447621618717676,False
MNIST,0,0,EMNIST,56,u,0.12327077239751816,0.0034853541292250156,0.06337806326337159,False
MNIST,0,0,EMNIST,57,v,0.10955796390771866,0.0003382897120900452,0.05494812680990435,False
MNIST,0,0,EMNIST,58,w,0.08148413896560669,0.0033740017097443342,0.04242907033767551,False
MNIST,0,0,EMNIST,59,x,0.09094945341348648,0.00030535965925082564,0.04562740653636865,False
MNIST,0,0,EMNIST,60,y,0.04416647553443909,0.0004639810067601502,0.02231522827059962,False
MNIST,0,0,EMNIST,61,z,0.09407878667116165,5.2766270528081805e-05,0.04706577647084487,False
MNIST,1,1,EMNIST,0,0,0.0436873733997345,2.9830160201527178e-05,0.021858601779968012,False
MNIST,1,1,EMNIST,1,1,0.9014970064163208,0.4480138421058655,0.6747554242610931,True
MNIST,1,1,EMNIST,2,2,0.010757158510386944,0.0002443843404762447,0.005500771425431594,False
MNIST,1,1,EMNIST,3,3,0.06282742321491241,5.093700747238472e-05,0.0314391801111924,False
MNIST,1,1,EMNIST,4,4,0.10753677785396576,0.0009182578069157898,0.054227517830440775,False
MNIST,1,1,EMNIST,5,5,0.009386192075908184,2.7623860660241917e-05,0.004706907968284213,False
MNIST,1,1,EMNIST,6,6,0.07791899144649506,6.979412864893675e-05,0.038994392787571996,False
MNIST,1,1,EMNIST,7,7,0.14739514887332916,0.007339163683354855,0.07736715627834201,False
MNIST,1,1,EMNIST,8,8,0.02792278490960598,0.00026080626412294805,0.014091795586864464,False
