Time: 2026-06-18 12:08:07
Log Dir: logs/2026-06-18_12-08-07/GeFL_DDIM_baseline_total
================================================================================

==============================        Args        ==============================
  exp_timestamp: None
  exp_conf: ./configs/het-iid-exp.yaml
  device: cuda:1
  seed: 15698
  algorithm: GeFL_DDIM_baseline_total
  num_new_clients: 1
  num_train_mnist: 10
  num_train_emnist: 10
  num_train_fashionmnist: 0
  num_train_cifar10: 0
  num_train_cifar100: 0
  num_train_usps: 0
  label_mapping: independent
================================================================================
==============================    Exp Configs     ==============================
exp_name: model-heterogeneity
heterogeneous: true
dirichlet_alpha: 100
global_rounds: 30
local_epochs: 1
local_loss_fn: CrossEntropyLoss
local_optim: Adam
local_lr: 0.001
batch_size: 64
sample_frac: 1.0
test_interval: 1
metric_type: accuracy
global_feature_dim: 256
optim: Adam
optim_lr: 0.001
global_gen_epochs: 10
gen_noise_dim: 128
gen_optim: Adam
gen_optim_lr: 0.001
global_feat_gen_epochs: 10
feat_gen_noise_dim: 128
feat_gen_optim: Adam
feat_gen_optim_lr: 0.001
feat_gen_div_beta: 1.0
public_data_ratio: 0.05
start_mapping_epoch: 20
gen_observer_weight: 0.0
index_matching: ddpm
aggregate_method: dataset_name
use_new_entropy_method: true
entropy_ratio: 0.7
cs_threshold: 0.9
global_model_epochs: 5
global_model_optim: Adam
global_model_optim_lr: 0.001
global_samples_per_class: 64

================================================================================

==================================================
Start 30 rounds training by GeFL_DDIM_baseline_total
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 7 ---
Client 0 (MNIST) | Target Loss: 0.1672 | DDIM Loss: 0.0139
Client 1 (MNIST) | Target Loss: 0.0869 | DDIM Loss: 0.0139
Client 2 (MNIST) | Target Loss: 0.0399 | DDIM Loss: 0.0138
Client 3 (MNIST) | Target Loss: 0.0402 | DDIM Loss: 0.0140
Client 4 (MNIST) | Target Loss: 0.1811 | DDIM Loss: 0.0138
Client 5 (MNIST) | Target Loss: 0.5941 | DDIM Loss: 0.0136
Client 6 (MNIST) | Target Loss: 0.0991 | DDIM Loss: 0.0140
Client 7 (MNIST) | Target Loss: 0.0704 | DDIM Loss: 0.0135
Client 8 (MNIST) | Target Loss: 0.9649 | DDIM Loss: 0.0136
Client 9 (MNIST) | Target Loss: 0.2248 | DDIM Loss: 0.0141
Client 11 (EMNIST) | Target Loss: 0.4978 | DDIM Loss: 0.0086
Client 12 (EMNIST) | Target Loss: 0.4547 | DDIM Loss: 0.0085
Client 13 (EMNIST) | Target Loss: 0.3595 | DDIM Loss: 0.0085
Client 14 (EMNIST) | Target Loss: 0.3406 | DDIM Loss: 0.0084
Client 15 (EMNIST) | Target Loss: 0.5142 | DDIM Loss: 0.0085
Client 16 (EMNIST) | Target Loss: 0.7204 | DDIM Loss: 0.0084
Client 17 (EMNIST) | Target Loss: 0.4156 | DDIM Loss: 0.0085
Client 18 (EMNIST) | Target Loss: 0.3361 | DDIM Loss: 0.0085
Client 19 (EMNIST) | Target Loss: 0.5260 | DDIM Loss: 0.0085
Client 20 (EMNIST) | Target Loss: 0.5422 | DDIM Loss: 0.0086
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 8 ---
Client 0 (MNIST) | Target Loss: 0.1625 | DDIM Loss: 0.0128
Client 1 (MNIST) | Target Loss: 0.0748 | DDIM Loss: 0.0126
Client 2 (MNIST) | Target Loss: 0.0483 | DDIM Loss: 0.0130
Client 3 (MNIST) | Target Loss: 0.0488 | DDIM Loss: 0.0137
Client 4 (MNIST) | Target Loss: 0.1702 | DDIM Loss: 0.0130
Client 5 (MNIST) | Target Loss: 0.5291 | DDIM Loss: 0.0135
Client 6 (MNIST) | Target Loss: 0.0845 | DDIM Loss: 0.0130
Client 7 (MNIST) | Target Loss: 0.0493 | DDIM Loss: 0.0129
Client 8 (MNIST) | Target Loss: 0.7114 | DDIM Loss: 0.0132
Client 9 (MNIST) | Target Loss: 0.2026 | DDIM Loss: 0.0133
Client 11 (EMNIST) | Target Loss: 0.4768 | DDIM Loss: 0.0083
Client 12 (EMNIST) | Target Loss: 0.4401 | DDIM Loss: 0.0083
Client 13 (EMNIST) | Target Loss: 0.3475 | DDIM Loss: 0.0083
Client 14 (EMNIST) | Target Loss: 0.3248 | DDIM Loss: 0.0083
Client 15 (EMNIST) | Target Loss: 0.4912 | DDIM Loss: 0.0083
Client 16 (EMNIST) | Target Loss: 0.6933 | DDIM Loss: 0.0083
Client 17 (EMNIST) | Target Loss: 0.4033 | DDIM Loss: 0.0082
Client 18 (EMNIST) | Target Loss: 0.3184 | DDIM Loss: 0.0083
Client 19 (EMNIST) | Target Loss: 0.5052 | DDIM Loss: 0.0083
Client 20 (EMNIST) | Target Loss: 0.5257 | DDIM Loss: 0.0083
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 9 ---
