Round,Dataset,Local_Class,Accuracy
31,EMNIST,42,2.24
31,EMNIST,43,0.0
31,EMNIST,44,0.0
31,EMNIST,45,0.0
31,EMNIST,46,2.83
31,EMNIST,47,0.0
31,EMNIST,48,0.0
31,EMNIST,49,0.0
31,EMNIST,50,0.0
31,EMNIST,51,0.3
31,EMNIST,52,0.0
31,EMNIST,53,0.0
31,EMNIST,54,0.0
31,EMNIST,55,0.19
31,EMNIST,56,0.0
31,EMNIST,57,0.0
31,EMNIST,58,0.0
31,EMNIST,59,0.0
31,EMNIST,60,0.58
31,EMNIST,61,0.0
31,CIFAR10,0,17.14
31,CIFAR10,1,22.75
31,CIFAR10,2,11.65
31,CIFAR10,3,4.29
31,CIFAR10,4,3.41
31,CIFAR10,5,11.54
31,CIFAR10,6,72.97
31,CIFAR10,7,44.73
31,CIFAR10,8,48.57
31,CIFAR10,9,38.24
32,MNIST,0,86.53
32,MNIST,1,67.73
32,MNIST,2,95.42
32,MNIST,3,95.76
32,MNIST,4,90.15
32,MNIST,5,68.56
32,MNIST,6,49.48
32,MNIST,7,89.09
32,MNIST,8,95.37
32,MNIST,9,3.81
32,EMNIST,0,82.09
32,EMNIST,1,54.75
32,EMNIST,2,94.4
32,EMNIST,3,93.7
32,EMNIST,4,89.98
32,EMNIST,5,67.13
32,EMNIST,6,34.22
32,EMNIST,7,79.05
32,EMNIST,8,95.35
32,EMNIST,9,16.4
32,EMNIST,10,0.0
32,EMNIST,11,6.27
32,EMNIST,12,0.0
32,EMNIST,13,7.76
32,EMNIST,14,42.89
32,EMNIST,15,2.98
32,EMNIST,16,0.0
32,EMNIST,17,2.32
32,EMNIST,18,0.0
32,EMNIST,19,28.95
32,EMNIST,20,0.29
32,EMNIST,21,0.0
32,EMNIST,22,0.0
32,EMNIST,23,0.0
32,EMNIST,24,0.0
32,EMNIST,25,0.08
32,EMNIST,26,11.7
32,EMNIST,27,0.0
32,EMNIST,28,0.31
32,EMNIST,29,0.0
32,EMNIST,30,0.0
32,EMNIST,31,0.0
32,EMNIST,32,15.28
32,EMNIST,33,0.25
32,EMNIST,34,29.61
32,EMNIST,35,5.21
32,EMNIST,36,0.0
32,EMNIST,37,0.0
32,EMNIST,38,0.0
32,EMNIST,39,0.46
32,EMNIST,40,1.08
32,EMNIST,41,1.1
32,EMNIST,42,0.19
32,EMNIST,43,0.0
32,EMNIST,44,0.0
32,EMNIST,45,0.0
32,EMNIST,46,0.24
32,EMNIST,47,0.0
32,EMNIST,48,0.0
32,EMNIST,49,0.0
32,EMNIST,50,0.0
32,EMNIST,51,0.6
32,EMNIST,52,0.0
32,EMNIST,53,0.0
32,EMNIST,54,0.0
32,EMNIST,55,0.04
32,EMNIST,56,0.0
32,EMNIST,57,0.0
32,EMNIST,58,0.0
32,EMNIST,59,0.0
32,EMNIST,60,0.86
32,EMNIST,61,0.0
32,CIFAR10,0,18.02
32,CIFAR10,1,28.13
32,CIFAR10,2,15.16
32,CIFAR10,3,7.36
32,CIFAR10,4,13.74
32,CIFAR10,5,35.16
32,CIFAR10,6,63.52
32,CIFAR10,7,43.63
32,CIFAR10,8,32.31
32,CIFAR10,9,45.71
33,MNIST,0,69.58
33,MNIST,1,0.1
33,MNIST,2,94.04
33,MNIST,3,93.8
33,MNIST,4,98.77
33,MNIST,5,55.36
33,MNIST,6,12.28
33,MNIST,7,71.02
33,MNIST,8,97.97
33,MNIST,9,7.73
33,EMNIST,0,76.09
33,EMNIST,1,0.05
33,EMNIST,2,94.66
33,EMNIST,3,92.8
33,EMNIST,4,97.42
33,EMNIST,5,57.51
33,EMNIST,6,15.46
33,EMNIST,7,43.77
33,EMNIST,8,98.55
33,EMNIST,9,29.9
33,EMNIST,10,0.0
33,EMNIST,11,10.0
33,EMNIST,12,0.0
33,EMNIST,13,4.65
33,EMNIST,14,12.27
33,EMNIST,15,0.31
33,EMNIST,16,0.0
33,EMNIST,17,1.48
33,EMNIST,18,0.0
33,EMNIST,19,0.35
33,EMNIST,20,1.15
33,EMNIST,21,0.0
33,EMNIST,22,0.22
33,EMNIST,23,0.0
33,EMNIST,24,0.0
33,EMNIST,25,0.0
33,EMNIST,26,35.64
33,EMNIST,27,0.41
33,EMNIST,28,0.56
33,EMNIST,29,0.0
33,EMNIST,30,0.0
33,EMNIST,31,0.0
33,EMNIST,32,33.02
33,EMNIST,33,0.0
33,EMNIST,34,1.38
33,EMNIST,35,0.0
33,EMNIST,36,0.07
33,EMNIST,37,0.0
33,EMNIST,38,0.0
33,EMNIST,39,0.0
33,EMNIST,40,0.19
33,EMNIST,41,0.0
33,EMNIST,42,0.37
33,EMNIST,43,0.0
33,EMNIST,44,0.0
33,EMNIST,45,0.0
33,EMNIST,46,2.12
33,EMNIST,47,0.0
33,EMNIST,48,0.0
33,EMNIST,49,0.0
33,EMNIST,50,0.0
33,EMNIST,51,0.0
33,EMNIST,52,0.0
33,EMNIST,53,0.0
33,EMNIST,54,0.0
33,EMNIST,55,0.0
33,EMNIST,56,0.0
33,EMNIST,57,0.0
33,EMNIST,58,0.94
33,EMNIST,59,0.0
33,EMNIST,60,1.15
33,EMNIST,61,0.0
33,CIFAR10,0,43.41
33,CIFAR10,1,34.29
33,CIFAR10,2,18.68
