global_round,missing_threshold,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
15,0.65,0.10411764705882352,0.9993627603357165,0.8119266055045872,0.55174020369727,0.1845672575599583,0.28569940433584734,177,41,64299,1523
15,0.7,0.0888235294117647,0.9995026422132421,0.825136612021858,0.5441630858125034,0.16038236856080723,0.2660895869764193,151,32,64308,1549
15,0.75,0.06823529411764706,0.9998756605533106,0.9354838709677419,0.5340554773354789,0.12719298245614036,0.24915849069912271,116,8,64332,1584
15,0.8,0.052941176470588235,0.9998756605533106,0.9183673469387755,0.5264084185119494,0.10011123470522804,0.2172917728180166,90,8,64332,1610
15,0.85,0.03058823529411765,0.9999378302766553,0.9285714285714286,0.5152630327853864,0.0592255125284738,0.16608197036922492,52,4,64336,1648
15,0.9,0.018235294117647058,0.9999844575691638,0.96875,0.5091098758434054,0.03579676674364896,0.13110950161893,31,1,64339,1669
15,0.95,0.011176470588235295,1.0,1.0,0.5055882352941177,0.02210587550901687,0.10436426502595812,19,0,64340,1681
15,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,64340,1700
20,0.1,0.32588235294117646,0.9939539944047249,0.5874867444326617,0.6599181736729507,0.41922058267120693,0.4269298023648409,554,389,63951,1146
20,0.15,0.32,0.9945446067764998,0.6078212290502794,0.6572723033882499,0.41926782273603086,0.4308193193192893,544,351,63989,1156
20,0.2,0.31176470588235294,0.9953061858874728,0.6370192307692307,0.6535354458849129,0.4186413902053712,0.43600506657558286,530,302,64038,1170
20,0.25,0.2994117647058824,0.9956792042275412,0.6467598475222364,0.6475454844667118,0.40932850824286293,0.43065877392623486,509,278,64062,1191
20,0.3,0.2958823529411765,0.9959589679825924,0.6592398427260813,0.6459206604618845,0.40844498578968735,0.43248336642265134,503,260,64080,1197
20,0.35,0.2911764705882353,0.9963941560460056,0.6808803301237965,0.6437853133171204,0.407911001236094,0.4364580329754756,495,232,64108,1205
20,0.4,0.2464705882352941,0.9976686353745726,0.7363796133567663,0.6220696118049334,0.36932569413838695,0.4183328099347646,419,150,64190,1281
20,0.45,0.23294117647058823,0.9982281628846752,0.7764705882352941,0.6155846696776317,0.35837104072398185,0.4182057972568916,396,114,64226,1304
20,0.5,0.19823529411764707,0.9984768417780541,0.774712643678161,0.5983560679478506,0.3156908665105386,0.38510844697708624,337,98,64242,1363
20,0.55,0.16117647058823528,0.9989120298414672,0.7965116279069767,0.5800442502148513,0.26810176125244617,0.35218952951775734,274,70,64270,1426
20,0.6,0.1411764705882353,0.999067454149829,0.8,0.5701219623690321,0.24000000000000002,0.33027337828964637,240,60,64280,1460
20,0.65,0.12058823529411765,0.9992228784581909,0.803921568627451,0.5599055568761543,0.20971867007672634,0.30593457733524226,205,50,64290,1495
20,0.7,0.10411764705882352,0.9995181846440784,0.8509615384615384,0.5518179158514509,0.18553459119496854,0.29290361645196017,177,31,64309,1523
20,0.75,0.09058823529411765,0.9997824059682935,0.9166666666666666,0.5451853206312056,0.16488222698072805,0.28411050186716746,154,14,64326,1546
20,0.8,0.05941176470588235,0.9999378302766553,0.9619047619047619,0.5296747974912688,0.11191135734072022,0.23590116938695746,101,4,64336,1599
20,0.85,0.041176470588235294,0.9999844575691638,0.9859154929577465,0.5205804640786995,0.07905138339920947,0.19890743798204208,70,1,64339,1630
20,0.9,0.026470588235294117,1.0,1.0,0.513235294117647,0.05157593123209169,0.16064485018947314,45,0,64340,1655
20,0.95,0.007058823529411765,1.0,1.0,0.5035294117647059,0.014018691588785047,0.08293591096791718,12,0,64340,1688
20,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,64340,1700
25,0.1,0.2723529411764706,0.9923997513211066,0.48634453781512604,0.6323763462487886,0.34917043740573156,0.35175188774766036,463,489,63851,1237
25,0.15,0.2711764705882353,0.9932235001554243,0.5139353400222966,0.6321999853718298,0.3550250288794763,0.36173979879121454,461,436,63904,1239
25,0.2,0.27,0.993705315511346,0.53125,0.631852657755673,0.3580343213728549,0.36752183821303464,459,405,63935,1241
25,0.25,0.25941176470588234,0.994389182468138,0.5498753117206983,0.6269004735870102,0.35251798561151076,0.3669616874059722,441,361,63979,1259
25,0.3,0.2488235294117647,0.9951818464407833,0.5770804911323328,0.622002687926274,0.3477188655980271,0.36883534250339217,423,310,64030,1277
25,0.35,0.2323529411764706,0.9957880012433945,0.5930930930930931,0.6140704712099325,0.3338968723584108,0.36160012860814655,395,271,64069,1305
